resume_id,profile_hash,dataset_version,split,target_job_family,education,school_category,major,english_level,experience,projects,skills_raw,skills_normalized,skill_levels,profile_text,screening_label,screening_label_original,screening_label_revised,label_disagreement
resume_9184d07d9d64c748,aaa39b34e81e6cef8f45,revised_with_original_label_audit,test,全栈开发工程师,专科,普通高校,计算机类,无,[],"{""small"":2,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""JavaScript"",""Go""],""frontend"":[""HTML/CSS"",""React/Vue"",""Webpack""],""backend"":[""Spring Boot"",""Django/Flask""],""database"":[""MySQL"",""PostgreSQL"",""MongoDB"",""Redis""],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""JavaScript"",""Go"",""HTML"",""CSS"",""React"",""Vue"",""Webpack"",""Spring Boot"",""Django"",""Flask"",""MySQL"",""PostgreSQL"",""MongoDB"",""Redis""]","{""Python"":""精通"",""JavaScript"":""掌握"",""Go"":""了解"",""HTML"":""熟练"",""CSS"":""熟练"",""React"":""掌握"",""Vue"":""掌握"",""Webpack"":""熟练"",""Spring Boot"":""掌握"",""Django"":""精通"",""Flask"":""精通"",""MySQL"":""精通"",""PostgreSQL"":""掌握"",""MongoDB"":""熟练"",""Redis"":""掌握""}",意向岗位：全栈开发工程师。学历：专科。专业：计算机类。英语水平：无。技能：Python（精通）、JavaScript（掌握）、Go（了解）、HTML（熟练）、CSS（熟练）、React（掌握）、Vue（掌握）、Webpack（熟练）、Spring Boot（掌握）、Django（精通）、Flask（精通）、MySQL（精通）、PostgreSQL（掌握）、MongoDB（熟练）、Redis（掌握）。工作经验：未填写。项目经验：小型项目2个，中型项目0个，大型项目0个。,不通过,不通过,不通过,False
resume_79eaef85484489c6,a99b2aa582b14609cd99,revised_with_original_label_audit,train,前端开发工程师,本科,普通高校,计算机类,无,[],"{""small"":0,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""Java"",""JavaScript"",""SQL"",""Go""],""frontend"":[""HTML/CSS"",""React/Vue"",""Webpack"",""TypeScript"",""Redux/Vuex""],""backend"":[],""database"":[],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""Java"",""JavaScript"",""SQL"",""Go"",""HTML"",""CSS"",""React"",""Vue"",""Webpack"",""TypeScript"",""Redux"",""Vuex""]","{""Python"":""了解"",""Java"":""熟练"",""JavaScript"":""掌握"",""SQL"":""精通"",""Go"":""掌握"",""HTML"":""熟练"",""CSS"":""熟练"",""React"":""熟练"",""Vue"":""熟练"",""Webpack"":""熟练"",""TypeScript"":""了解"",""Redux"":""了解"",""Vuex"":""了解""}",意向岗位：前端开发工程师。学历：本科。专业：计算机类。英语水平：无。技能：Python（了解）、Java（熟练）、JavaScript（掌握）、SQL（精通）、Go（掌握）、HTML（熟练）、CSS（熟练）、React（熟练）、Vue（熟练）、Webpack（熟练）、TypeScript（了解）、Redux（了解）、Vuex（了解）。工作经验：未填写。项目经验：小型项目0个，中型项目0个，大型项目0个。,不通过,不通过,不通过,False
resume_dbe61ddddd082ddd,96a350313f990394d5d2,revised_with_original_label_audit,train,数据分析师,专科,普通高校,计算机类,无,"[{""company_size"":""small_company"",""duration"":""1―3年""}]","{""small"":0,""medium"":0,""large"":0}","{""programming_language"":[""Java"",""SQL""],""frontend"":[],""backend"":[],""database"":[""MySQL"",""MongoDB""],""cloud_devops"":[],""data_ai"":[""Pandas/Numpy"",""TensorFlow/PyTorch"",""Hadoop/Spark"",""Tableau/Power BI/FineBI""],""mobile"":[],""testing"":[]}","[""Java"",""SQL"",""MySQL"",""MongoDB"",""Pandas"",""NumPy"",""TensorFlow"",""PyTorch"",""Hadoop"",""Spark"",""Tableau"",""Power BI"",""FineBI""]","{""Java"":""精通"",""SQL"":""精通"",""MySQL"":""精通"",""MongoDB"":""熟练"",""Pandas"":""熟练"",""NumPy"":""熟练"",""TensorFlow"":""熟练"",""PyTorch"":""熟练"",""Hadoop"":""熟练"",""Spark"":""熟练"",""Tableau"":""熟练"",""Power BI"":""熟练"",""FineBI"":""熟练""}",意向岗位：数据分析师。学历：专科。专业：计算机类。英语水平：无。技能：Java（精通）、SQL（精通）、MySQL（精通）、MongoDB（熟练）、Pandas（熟练）、NumPy（熟练）、TensorFlow（熟练）、PyTorch（熟练）、Hadoop（熟练）、Spark（熟练）、Tableau（熟练）、Power BI（熟练）、FineBI（熟练）。工作经验：small_company企业经验：1―3年。项目经验：小型项目0个，中型项目0个，大型项目0个。,不通过,通过,不通过,True
resume_347d7c7f1c1fe1c9,94278a9f04abf383f0b3,revised_with_original_label_audit,train,前端开发工程师,本科,普通高校,计算机类,英语四级,[],"{""small"":0,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""Java"",""JavaScript"",""SQL""],""frontend"":[""HTML/CSS"",""React/Vue"",""TypeScript""],""backend"":[],""database"":[],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""Java"",""JavaScript"",""SQL"",""HTML"",""CSS"",""React"",""Vue"",""TypeScript""]","{""Python"":""掌握"",""Java"":""熟练"",""JavaScript"":""精通"",""SQL"":""了解"",""HTML"":""熟练"",""CSS"":""熟练"",""React"":""掌握"",""Vue"":""掌握"",""TypeScript"":""熟练""}",意向岗位：前端开发工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Python（掌握）、Java（熟练）、JavaScript（精通）、SQL（了解）、HTML（熟练）、CSS（熟练）、React（掌握）、Vue（掌握）、TypeScript（熟练）。工作经验：未填写。项目经验：小型项目0个，中型项目0个，大型项目0个。,不通过,不通过,不通过,False
resume_fb1d398b750e40f1,6dd170a334daa02f9452,revised_with_original_label_audit,train,移动开发工程师,本科,普通高校,计算机类,英语四级,"[{""company_size"":""small_company"",""duration"":""1―3年""}]","{""small"":6,""medium"":0,""large"":0}","{""programming_language"":[""Java"",""JavaScript"",""Go""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[],""data_ai"":[],""mobile"":[""Android (Kotlin)"",""React Native/Flutter""],""testing"":[]}","[""Java"",""JavaScript"",""Go"",""Android"",""Kotlin"",""React Native"",""Flutter""]","{""Java"":""熟练"",""JavaScript"":""掌握"",""Go"":""熟练"",""Android"":""熟练"",""Kotlin"":""熟练"",""React Native"":""掌握"",""Flutter"":""掌握""}",意向岗位：移动开发工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Java（熟练）、JavaScript（掌握）、Go（熟练）、Android（熟练）、Kotlin（熟练）、React Native（掌握）、Flutter（掌握）。工作经验：small_company企业经验：1―3年。项目经验：小型项目6个，中型项目0个，大型项目0个。,不通过,不通过,不通过,False
resume_59f28c0fdd1d2650,5a96177c53559ea61a30,revised_with_original_label_audit,test,后端开发工程师,本科,普通高校,非计算机类,英语四级,[],"{""small"":0,""medium"":0,""large"":0}","{""programming_language"":[""Java""],""frontend"":[],""backend"":[""Spring Boot"",""Django/Flask"",""RESTful API"",""Node.js"",""Kafka/RabbitMQ""],""database"":[""MySQL"",""Redis""],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Java"",""Spring Boot"",""Django"",""Flask"",""RESTful API"",""Node.js"",""Kafka"",""RabbitMQ"",""MySQL"",""Redis""]","{""Java"":""掌握"",""Spring Boot"":""熟练"",""Django"":""熟练"",""Flask"":""熟练"",""RESTful API"":""掌握"",""Node.js"":""了解"",""Kafka"":""精通"",""RabbitMQ"":""精通"",""MySQL"":""掌握"",""Redis"":""熟练""}",意向岗位：后端开发工程师。学历：本科。专业：非计算机类。英语水平：英语四级。技能：Java（掌握）、Spring Boot（熟练）、Django（熟练）、Flask（熟练）、RESTful API（掌握）、Node.js（了解）、Kafka（精通）、RabbitMQ（精通）、MySQL（掌握）、Redis（熟练）。工作经验：未填写。项目经验：小型项目0个，中型项目0个，大型项目0个。,通过,不通过,通过,True
resume_186bf19e4076d77d,a8fe3b4ce860d6b9a117,revised_with_original_label_audit,train,全栈开发工程师,本科,普通高校,非计算机类,无,"[{""company_size"":""small_company"",""duration"":""1―3年""}]","{""small"":12,""medium"":0,""large"":0}","{""programming_language"":[""Java"",""JavaScript"",""Go""],""frontend"":[""HTML/CSS"",""React/Vue"",""Webpack"",""TypeScript"",""Redux/Vuex""],""backend"":[""Spring Boot"",""Django/Flask"",""Node.js""],""database"":[""MySQL"",""PostgreSQL"",""MongoDB""],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Java"",""JavaScript"",""Go"",""HTML"",""CSS"",""React"",""Vue"",""Webpack"",""TypeScript"",""Redux"",""Vuex"",""Spring Boot"",""Django"",""Flask"",""Node.js"",""MySQL"",""PostgreSQL"",""MongoDB""]","{""Java"":""熟练"",""JavaScript"":""熟练"",""Go"":""掌握"",""HTML"":""熟练"",""CSS"":""熟练"",""React"":""掌握"",""Vue"":""掌握"",""Webpack"":""了解"",""TypeScript"":""掌握"",""Redux"":""掌握"",""Vuex"":""掌握"",""Spring Boot"":""掌握"",""Django"":""熟练"",""Flask"":""熟练"",""Node.js"":""熟练"",""MySQL"":""熟练"",""PostgreSQL"":""掌握"",""MongoDB"":""熟练""}",意向岗位：全栈开发工程师。学历：本科。专业：非计算机类。英语水平：无。技能：Java（熟练）、JavaScript（熟练）、Go（掌握）、HTML（熟练）、CSS（熟练）、React（掌握）、Vue（掌握）、Webpack（了解）、TypeScript（掌握）、Redux（掌握）、Vuex（掌握）、Spring Boot（掌握）、Django（熟练）、Flask（熟练）、Node.js（熟练）、MySQL（熟练）、PostgreSQL（掌握）、MongoDB（熟练）。工作经验：small_company企业经验：1―3年。项目经验：小型项目12个，中型项目0个，大型项目0个。,通过,不通过,通过,True
resume_f431459f5ec50468,17ac667cb690f6af9895,revised_with_original_label_audit,dev,后端开发工程师,专科,普通高校,计算机类,无,[],"{""small"":0,""medium"":0,""large"":0}","{""programming_language"":[""Java"",""JavaScript"",""SQL""],""frontend"":[],""backend"":[""Spring Boot"",""Django/Flask"",""Node.js"",""Kafka/RabbitMQ""],""database"":[""MySQL""],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Java"",""JavaScript"",""SQL"",""Spring Boot"",""Django"",""Flask"",""Node.js"",""Kafka"",""RabbitMQ"",""MySQL""]","{""Java"":""熟练"",""JavaScript"":""了解"",""SQL"":""了解"",""Spring Boot"":""熟练"",""Django"":""熟练"",""Flask"":""熟练"",""Node.js"":""掌握"",""Kafka"":""熟练"",""RabbitMQ"":""熟练"",""MySQL"":""精通""}",意向岗位：后端开发工程师。学历：专科。专业：计算机类。英语水平：无。技能：Java（熟练）、JavaScript（了解）、SQL（了解）、Spring Boot（熟练）、Django（熟练）、Flask（熟练）、Node.js（掌握）、Kafka（熟练）、RabbitMQ（熟练）、MySQL（精通）。工作经验：未填写。项目经验：小型项目0个，中型项目0个，大型项目0个。,通过,不通过,通过,True
resume_3213c80bd96582be,bf3b1f1e54432bcc1a96,revised_with_original_label_audit,train,后端开发工程师,专科,普通高校,计算机类,英语四级,[],"{""small"":0,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""Java"",""JavaScript"",""SQL"",""Go""],""frontend"":[],""backend"":[""Spring Boot"",""Django/Flask"",""RESTful API"",""Node.js"",""Kafka/RabbitMQ""],""database"":[""MySQL"",""PostgreSQL"",""MongoDB""],""cloud_devops"":[],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""Java"",""JavaScript"",""SQL"",""Go"",""Spring Boot"",""Django"",""Flask"",""RESTful API"",""Node.js"",""Kafka"",""RabbitMQ"",""MySQL"",""PostgreSQL"",""MongoDB""]","{""Python"":""精通"",""Java"":""熟练"",""JavaScript"":""熟练"",""SQL"":""熟练"",""Go"":""了解"",""Spring Boot"":""掌握"",""Django"":""熟练"",""Flask"":""熟练"",""RESTful API"":""熟练"",""Node.js"":""熟练"",""Kafka"":""了解"",""RabbitMQ"":""了解"",""MySQL"":""掌握"",""PostgreSQL"":""掌握"",""MongoDB"":""熟练""}",意向岗位：后端开发工程师。学历：专科。专业：计算机类。英语水平：英语四级。技能：Python（精通）、Java（熟练）、JavaScript（熟练）、SQL（熟练）、Go（了解）、Spring Boot（掌握）、Django（熟练）、Flask（熟练）、RESTful API（熟练）、Node.js（熟练）、Kafka（了解）、RabbitMQ（了解）、MySQL（掌握）、PostgreSQL（掌握）、MongoDB（熟练）。工作经验：未填写。项目经验：小型项目0个，中型项目0个，大型项目0个。,通过,不通过,通过,True
resume_55230efa49e3ad11,facd7c4ec62a7d65269b,revised_with_original_label_audit,dev,云计算工程师,本科,211高校,计算机类,英语四级,"[{""company_size"":""small_company"",""duration"":""1―3年""}]","{""small"":1,""medium"":0,""large"":0}","{""programming_language"":[""Python"",""Java""],""frontend"":[],""backend"":[],""database"":[],""cloud_devops"":[""AWS/Azure"",""Docker/Kubernetes"",""Terraform""],""data_ai"":[],""mobile"":[],""testing"":[]}","[""Python"",""Java"",""AWS"",""Azure"",""Docker"",""Kubernetes"",""Terraform""]","{""Python"":""掌握"",""Java"":""掌握"",""AWS"":""熟练"",""Azure"":""熟练"",""Docker"":""熟练"",""Kubernetes"":""熟练"",""Terraform"":""熟练""}",意向岗位：云计算工程师。学历：本科。专业：计算机类。英语水平：英语四级。技能：Python（掌握）、Java（掌握）、AWS（熟练）、Azure（熟练）、Docker（熟练）、Kubernetes（熟练）、Terraform（熟练）。工作经验：small_company企业经验：1―3年。项目经验：小型项目1个，中型项目0个，大型项目0个。,不通过,不通过,不通过,False
